"Taxon Name", "Synonym", "Name According to"
"Juncus arcticus var. balticus", "Juncus balticus Willdenow", "Kirschner, J. et al. 2002. Species Plantarum: Flora of the World. Part 6, Juncaceae 1: Rostkovia to Luzula. 237 pp. Part 7, Juncaceae 2: Juncus subg. Juncus. 336 pp. Part 8, Juncaceae 3: Juncus subg. Agathryon. Australian Biological Resources Study, Canberra. 192 pp."
"Juncus ensifolius var. ensifolius", "Juncus ensifolius Wikström", "Kirschner, J. et al. 2002. Species Plantarum: Flora of the World. Part 6, Juncaceae 1: Rostkovia to Luzula. 237 pp. Part 7, Juncaceae 2: Juncus subg. Juncus. 336 pp. Part 8, Juncaceae 3: Juncus subg. Agathryon. Australian Biological Resources Study, Canberra. 192 pp."
"Juncus stygius var. americanus", "Juncus stygius subsp. americanus (Buchenau) Hultén", "Kirschner, J. et al. 2002. Species Plantarum: Flora of the World. Part 6, Juncaceae 1: Rostkovia to Luzula. 237 pp. Part 7, Juncaceae 2: Juncus subg. Juncus. 336 pp. Part 8, Juncaceae 3: Juncus subg. Agathryon. Australian Biological Resources Study, Canberra. 192 pp."
"Juncus triglumis var. albescens", "Juncus triglumis subsp. albescens (Lange) Hultén", "Kirschner, J. et al. 2002. Species Plantarum: Flora of the World. Part 6, Juncaceae 1: Rostkovia to Luzula. 237 pp. Part 7, Juncaceae 2: Juncus subg. Juncus. 336 pp. Part 8, Juncaceae 3: Juncus subg. Agathryon. Australian Biological Resources Study, Canberra. 192 pp."
"Kobresia myosuroides", "Carex myosuroides Villars", "Global Carex Group. 2015. Making Carex monophyletic (Cyperaceae, tribe Cariceae): a new broader circumscription. Botanical Journal of the Linnean Society"
"Kobresia simpliciuscula", "Carex simpliciuscula Wahlenberg", "Global Carex Group. 2015. Making Carex monophyletic (Cyperaceae, tribe Cariceae): a new broader circumscription. Botanical Journal of the Linnean Society"
"Kochia scoparia", "Bassia scoparia (Linnaeus) Voss", "Kadereit, G. & H. Freitag. 2011. Molecular phylogeny of Camphorosmeae (Camphorosmoideae, Chenopodiaceae): Implications for biogeography, evolution of C4-photosynthesis and taxonomy. Taxon 60: 51-78."
"Kochia scoparia subsp. scoparia", "Bassia scoparia (Linnaeus) Voss", "Kadereit, G. & H. Freitag. 2011. Molecular phylogeny of Camphorosmeae (Camphorosmoideae, Chenopodiaceae): Implications for biogeography, evolution of C4-photosynthesis and taxonomy. Taxon 60: 51-78."
"Leptochloa fusca subsp. fascicularis", "Diplachne fusca subsp. fascicularis (Lamarck) P.M. Peterson & N. Snow", "Soreng, R.J., G. Davidse, P.M. Peterson, F.O. Zuloaga, E.J. Judziewicz, T.S. Filgueiras & O. Morrone. 2002+. Catalogue of New World Grasses (Poaceae). http://legacy.tropicos.org/Project/CNWG (consulted 2020-05-14)"
"Lipocarpha micrantha", "Cyperus subsquarrosus (Muhlenberg) Bauters", "Bauters, K., I. Larridon, M. Reynders, P. Asselman, A. Vrijdaghs, A.M. Muasya, D.A. Simpson & P. Goetghebeur. 2014. A new classification for Lipocarpha and Volkiella as infrageneric taxa of Cyperus s.l. (Cypereae, Cyperoideae, Cyperaceae): insights from species tree reconstruction supplemented with morphological and floral developmental data. Phytotaxa 166 (1): 1-32"
"Listera auriculata", "Neottia auriculata (Wiegand) Szlachetko", "WCSP 2012+. World Checklist of Selected Plant Families. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://apps.kew.org/wcsp/"
"Listera australis", "Neottia bifolia (Rafinesque) Baumbach", "WCSP 2012+. World Checklist of Selected Plant Families. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://apps.kew.org/wcsp/"
"Listera borealis", "Neottia borealis (Morong) Szlachetko", "WCSP 2012+. World Checklist of Selected Plant Families. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://apps.kew.org/wcsp/"
"Listera convallarioides", "Neottia convallarioides (Swartz) Richard", "WCSP 2012+. World Checklist of Selected Plant Families. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://apps.kew.org/wcsp/"
"Listera cordata var. cordata", "Neottia cordata (Linnaeus) Richard", "WCSP 2012+. World Checklist of Selected Plant Families. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://apps.kew.org/wcsp/"
"Listera ovata", "Neottia ovata (Linnaeus) Bluff & Fingerhut", "WCSP 2012+. World Checklist of Selected Plant Families. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://apps.kew.org/wcsp/"
"Lolium temulentum subsp. remotum", "Lolium remotum Schrank", "Soreng, R.J., G. Davidse, P.M. Peterson, F.O. Zuloaga, E.J. Judziewicz, T.S. Filgueiras & O. Morrone. 2002+. Catalogue of New World Grasses (Poaceae). http://legacy.tropicos.org/Project/CNWG (consulted 2020-05-14)"
"Lolium temulentum subsp. temulentum", "Lolium temulentum Linnaeus", "Soreng, R.J., G. Davidse, P.M. Peterson, F.O. Zuloaga, E.J. Judziewicz, T.S. Filgueiras & O. Morrone. 2002+. Catalogue of New World Grasses (Poaceae). http://legacy.tropicos.org/Project/CNWG (consulted 2020-05-14)"
"Luzula acuminata var. acuminata", "Luzula acuminata Rafinesque subsp. acuminata", "Kirschner, J. et al. 2002. Species Plantarum: Flora of the World. Part 6, Juncaceae 1: Rostkovia to Luzula. 237 pp. Part 7, Juncaceae 2: Juncus subg. Juncus. 336 pp. Part 8, Juncaceae 3: Juncus subg. Agathryon. Australian Biological Resources Study, Canberra. 192 pp."
"Lycopodium annotinum", "Spinulum annotinum (Linnaeus) A. Haines subsp. annotinum", "Kurtto, A. & P. Uotila. 2019. New combinations in the vascular flora of Finland, in the genera Spinulum, Oxybasis and Potentilla. Memoranda Societas Fauna Flora Fennica 95: 36-39"
"Lycopodium dendroideum", "Dendrolycopodium dendroideum (Michaux) A. Haines", "Missouri Botanical Garden. 2011+. Tropicos.org.  www.tropicos.org"
"Lycopodium hickeyi", "Dendrolycopodium hickeyi (W.H. Wagner, Beitel & R.C. Moran) A. Haines", "Missouri Botanical Garden. 2011+. Tropicos.org.  www.tropicos.org"
"Lycopodium obscurum", "Dendrolycopodium obscurum (Linnaeus) A. Haines", "Missouri Botanical Garden. 2011+. Tropicos.org.  www.tropicos.org"
"Maianthemum racemosum subsp. racemosum", "Maianthemum racemosum (Linnaeus) Link", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 26: Agavaceae, Aloaceae, Burmanniaceae, Dioscoreaceae, Haemodoraceae, Iridaceae, Liliaceae, Orchidaceae, Pontederiaceae, Smilacaceae and Stemonaceae. Oxford University Press, New York."
"Minuartia dawsonensis", "Sabulina dawsonensis (Britton) Rydberg", "Missouri Botanical Garden. 2011+. Tropicos.org.  www.tropicos.org"
"Minuartia groenlandica", "Mononeuria groenlandica (Retzius) Dillenberger & Kadereit", "Dillinger, M. & J.W. Kadereit. 2014. Maximum polyphyly: Multiple origins and delimitation with plesiomorphic characters require a new circumscription of Minuartia (Caryophyllaceae). Taxon 63(1): 64-88"
"Minuartia michauxii", "Sabulina michauxii (Fenzl) Dillenberger & Kadereit", "Dillinger, M. & J.W. Kadereit. 2014. Maximum polyphyly: Multiple origins and delimitation with plesiomorphic characters require a new circumscription of Minuartia (Caryophyllaceae). Taxon 63(1): 64-88"
"Minuartia rubella", "Sabulina rubella (Wahlenberg) Dillenberger & Kadereit", "Dillinger, M. & J.W. Kadereit. 2014. Maximum polyphyly: Multiple origins and delimitation with plesiomorphic characters require a new circumscription of Minuartia (Caryophyllaceae). Taxon 63(1): 64-88"
"Minuartia stricta", "Sabulina stricta (Swartz) Reichenbach", "Missouri Botanical Garden. 2011+. Tropicos.org.  www.tropicos.org"
"Monotropa hypopitys", "Hypopitys monotropa Crantz", "Broe, M.B. 2014. Phylogenetics of the Monotropoideae (Ericaceae) with Special Focus on the Genus Hypopitys Hill, together with a Novel Approach to Phylogenetic Inference Using Lattice Theory. Ph.D. Dissertation, Graduate School, Ohio State University. 189 pp."
"Muhlenbergia racemosa", "Muhlenbergia glomerata (Willdenow) Trinius", "FNA Editorial Committee. 2003. Flora of North America north of Mexico. Volume 25: Poaceae (part 2). Oxford University Press, New York."
"Myrica pensylvanica", "Morella pensylvanica (Mirbel) Kartesz", "Jepson Flora Project (eds.) 2013. Jepson eFlora, http://ucjeps.berkeley.edu/IJM.html [accessed on 2014-01-15]"
"Orobanche fasciculata", "Aphyllon fasciculatum (Nuttall) Torrey & A. Gray", "Schneider A.C. 2016. Resurrection of the genus Aphyllon for New World broomrapes (Orobanche s.l., Orobanchaceae). PhytoKeys 75: 107–118"
"Orobanche uniflora", "Aphyllon uniflorum (Linnaeus) Torrey & A. Gray", "Schneider A.C. 2016. Resurrection of the genus Aphyllon for New World broomrapes (Orobanche s.l., Orobanchaceae). PhytoKeys 75: 107–118"
"Orobanche uniflora subsp. uniflora", "Aphyllon uniflorum (Linnaeus) Torrey & A. Gray", "Schneider A.C. 2016. Resurrection of the genus Aphyllon for New World broomrapes (Orobanche s.l., Orobanchaceae). PhytoKeys 75: 107–118"
"Osmunda cinnamomea", "Osmundastrum cinnamomeum (Linnaeus) C. Presl", "Metzgar, J.S., J.E. Skog, E.A. Zimmer & K.M. Pryer. 2008. The paraphyly of Osmunda is confirmed by phylogenetic analyses of seven plastid loci. Systematic Botany 33 (1): 31-36."
"Osmunda claytoniana", "Claytosmunda claytoniana (Linnaeus) Metzgar & Rouhan", "Pteridophyte Phylogeny Group. 2016. A community-derived classification for extant lycophytes and ferns. Journal of Systematics and Evolution 54 (6): 563-603"
"Panicum capillare subsp. capillare", "Panicum capillare Linnaeus", "FNA Editorial Committee. 2003. Flora of North America north of Mexico. Volume 25: Poaceae (part 2). Oxford University Press, New York."
"Panicum philadelphicum subsp. gattingeri", "Panicum philadelphicum Bernhardi ex Trinius", "FNA Editorial Committee. 2003. Flora of North America north of Mexico. Volume 25: Poaceae (part 2). Oxford University Press, New York."
"Panicum philadelphicum subsp. philadelphicum", "Panicum philadelphicum Bernhardi ex Trinius", "FNA Editorial Committee. 2003. Flora of North America north of Mexico. Volume 25: Poaceae (part 2). Oxford University Press, New York."
"Panicum rigidulum", "Coleataenia rigidula (Bosc ex Nees) LeBlond subsp. rigidula", "Missouri Botanical Garden. 2011+. Tropicos.org.  www.tropicos.org"
"Panicum rigidulum subsp. pubescens", "Coleataenia longifolia (Torrey) Soreng subsp. longifolia", "Missouri Botanical Garden. 2011+. Tropicos.org.  www.tropicos.org"
"Panicum rigidulum subsp. rigidulum", "Coleataenia rigidula (Bosc ex Nees) LeBlond subsp. rigidula", "Missouri Botanical Garden. 2011+. Tropicos.org.  www.tropicos.org"
"Pascopyrum smithii", "Pascopyrum smithii (Rydberg) Barkworth & D.R. Dewey", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York."
"Persicaria lapathifolia", "Persicaria lapathifolia (Linnaeus) Delarbre", "FNA Editorial Committee. 2005. Flora of North America north of Mexico. Volume 5: Magnoliophyta: Caryophyllidae, part 2. Oxford University Press, New York."
"Phragmites", "Phragmites australis (Cavanilles) Trinius ex Steudel subsp. australis", "FNA Editorial Committee. 2003. Flora of North America north of Mexico. Volume 25: Poaceae (part 2). Oxford University Press, New York."
"Piperia unalascensis", "Platanthera unalascensis (Sprengel) Kurtz", "Bateman, R.M., K.E. James, Y.-B. Luo, R.K. Lauri, T. Fulcher, P.J. Cribb & M.W. Chase. 2009. Molecular phylogenetics and morphological reappraisal of the Platanthera clade (Orchidaceae: Orchidinae) prompts expansion of the generic limits of Galearis and Platanthera. Annals of Botany 104: 431-445"
"Poa eminens", "Arctopoa eminens (J. Presl) Probatova", "Gillespie, L.J., R.J. Soreng, R.D. Bull, S.W L. Jacob & N.F. Refulio-Rodriguez. 2008. Phylogenetic relationships in subtribe Poinae (Poaceae, Poeae) based on nuclear ITS and plastid trnT-trnL-trnF sequences. Botany 86: 938-967."
"Poa laxa subsp. banffiana", "Poa banffiana (Soreng) Soreng & L.J. Gillespie", "Soreng,R.J.,  L.J. Gillespie & L.L. Consaul. 2017. Taxonomy of the Poa laxa group, including two new taxa from Arctic Canada and Greenland, and Oregon, and a re-examination of P. sect. Oreinos (Poaceae). Nordic Journal of Botany 35: 513-538"
"Poa laxa subsp. fernaldiana", "Poa flexuosa subsp. fernaldiana (Nannfeldt) Á. Löve & D. Löve", "Soreng,R.J.,  L.J. Gillespie & L.L. Consaul. 2017. Taxonomy of the Poa laxa group, including two new taxa from Arctic Canada and Greenland, and Oregon, and a re-examination of P. sect. Oreinos (Poaceae). Nordic Journal of Botany 35: 513-538"
"Polygonella articulata", "Polygonum articulatum Linnaeus", "Schuster, T.M., J.L. Reveal & K.A. Kron. 2011. Phylogeny of Polygoneae (Polygonaceae: Polygonoideae). Taxon 60: 1653-1666."
"Potamogeton pusillus subsp. pusillus", "Potamogeton pusillus Linnaeus", "Les, D.H., N.M. Murray & N.P. Tippery. 2009. Systematics of two imperiled pondweeds ( Potamogeton vaseyi, P. gemmiparus) and taxonomic ramifications for subsection Pusilli (Potamogetonaceae). Systematic Botany 34: 643-651"
"Potamogeton pusillus subsp. tenuissimus", "Potamogeton berchtoldii Fieber subsp. berchtoldii", "WCSP 2012+. World Checklist of Selected Plant Families. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://apps.kew.org/wcsp/"
"Prenanthes alba", "Nabalus albus (Linnaeus) Hooker", "Missouri Botanical Garden. 2011+. Tropicos.org.  www.tropicos.org"
"Prenanthes altissima", "Nabalus altissimus (Linnaeus) Hooker", "Missouri Botanical Garden. 2011+. Tropicos.org.  www.tropicos.org"
"Prenanthes racemosa", "Nabalus racemosus (Michaux) Hooker", "Missouri Botanical Garden. 2011+. Tropicos.org.  www.tropicos.org"
"Prenanthes trifoliolata", "Nabalus trifoliolatus Cassini", "Missouri Botanical Garden. 2011+. Tropicos.org.  www.tropicos.org"
"Pteridium aquilinum var. latiusculum", "Pteridium aquilinum subsp. latiusculum (Desvaux) Hultén ex R.T. Clausen", "International Plant Names Index (IPNI). 2004+. http://www.ipni.org/index.html"
"Ranunculus aquatilis var. diffusus", "Ranunculus trichophyllus Chaix", "Wiegleb, G., A.A. Bobrov & J.Zalewska-Gałosz. 2017. A taxonomic account of Ranunculus section Batrachium (Ranunculaceae). Phytotaxa 319(1): 001-055"
"Ranunculus ficaria", "Ficaria verna Hudson", "Hörandl, E., O. Paun, J.T. Johansson, C. Lehnebach, T. Armstrong, L. Chen & P. Lockhart. 2005. Phylogenetic relationships and evolutionary traits in Ranunculus s.l. (Ranunculaceae) inferred from ITS sequence analysis . Molecular Phylogenetics and Evolution 36: 305-327."
"Ranunculus lapponicus", "Coptidium lapponicum (Linnaeus) Gandoger ex Rydberg", "Hörandl, E., O. Paun, J.T. Johansson, C. Lehnebach, T. Armstrong, L. Chen & P. Lockhart. 2005. Phylogenetic relationships and evolutionary traits in Ranunculus s.l. (Ranunculaceae) inferred from ITS sequence analysis . Molecular Phylogenetics and Evolution 36: 305-327."
"Ranunculus pallasii", "Coptidium pallasii (Schlechtendal) Tzvelev", "Hörandl, E., O. Paun, J.T. Johansson, C. Lehnebach, T. Armstrong, L. Chen & P. Lockhart. 2005. Phylogenetic relationships and evolutionary traits in Ranunculus s.l. (Ranunculaceae) inferred from ITS sequence analysis . Molecular Phylogenetics and Evolution 36: 305-327."
"Ranunculus pedatifidus var. affinis", "Ranunculus arcticus Richardson", "Elven, R. (Ed) 2007+. Checklist of the Panarctic Flora (PAF) Vascular Plants. http://www.binran.ru/infsys/paflist/index.htm (consulted 2011)"
"Rhamnus alnifolia", "Endotropis alnifolia (L’Héritier) Hauenschild", "Elven, R. (Ed) 2007+. Checklist of the Panarctic Flora (PAF) Vascular Plants. http://www.binran.ru/infsys/paflist/index.htm (consulted 2011)"
"Rubus parviflorus", "Rubus nutkanus Mociño ex Seringe", ""
"Rudbeckia fulgida var. speciosa", "Rudbeckia speciosa Wenderoth", "Campbell, J.N.N. & W.R. Seymour Jr. 2013. Towards a revision of the Rudbeckia fulgida complex (Asteraceae), with description of a new species from the blacklands of southern USA. Phytoneuron 2013-90:1-27"
"Rumex sanguineus", "Rumex britannica Linnaeus", "FNA Editorial Committee. 2005. Flora of North America north of Mexico. Volume 5: Magnoliophyta: Caryophyllidae, part 2. Oxford University Press, New York."
"Salix arctica", "Salix arctica Pallas", "FNA Editorial Committee. 2010. Flora of North America north of Mexico. Volume 7: Magnoliophyta: Salicaceae to Brassicaceae. Oxford University Press, New York."
"Salix cordata", "Salix eriocephala Michaux", "FNA Editorial Committee. 2010. Flora of North America north of Mexico. Volume 7: Magnoliophyta: Salicaceae to Brassicaceae. Oxford University Press, New York."
"Salsola collina", "Kali collinum (Pallas) Akhani & Roalson", "Akhani, H., G. Edwards & E.H. Roalson. 2007. Diversification of the Old World Salsoleae s.l. (Chenopodiaceae): Molecular phylogenetic analysis of nuclear and chloroplast data sets and a revised classification. International Journal of Plant Sciences, Vol. 168 (6 ) 931- 956"
"Salsola tragus", "Kali tragus (Linnaeus) Scopoli", "Akhani, H., G. Edwards & E.H. Roalson. 2007. Diversification of the Old World Salsoleae s.l. (Chenopodiaceae): Molecular phylogenetic analysis of nuclear and chloroplast data sets and a revised classification. International Journal of Plant Sciences, Vol. 168 (6 ) 931- 956"
"Schedonorus arundinaceus", "Lolium arundinaceum (Schreber) Darbyshire", "Soreng, R.J., G. Davidse, P.M. Peterson, F.O. Zuloaga, E.J. Judziewicz, T.S. Filgueiras & O. Morrone. 2002+. Catalogue of New World Grasses (Poaceae). http://legacy.tropicos.org/Project/CNWG (consulted 2020-05-14)"
"Schedonorus arundinaceus", "Scolochloa festucacea (Willdenow) Link", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York."
"Schedonorus giganteus", "Lolium giganteum (Linnaeus) Darbyshire", "Soreng, R.J., G. Davidse, P.M. Peterson, F.O. Zuloaga, E.J. Judziewicz, T.S. Filgueiras & O. Morrone. 2002+. Catalogue of New World Grasses (Poaceae). http://legacy.tropicos.org/Project/CNWG (consulted 2020-05-14)"
"Schedonorus pratensis", "Lolium pratense (Hudson) Darbyshire", "Soreng, R.J., G. Davidse, P.M. Peterson, F.O. Zuloaga, E.J. Judziewicz, T.S. Filgueiras & O. Morrone. 2002+. Catalogue of New World Grasses (Poaceae). http://legacy.tropicos.org/Project/CNWG (consulted 2020-05-14)"
"Schoenoplectus purshianus", "Schoenoplectiella purshiana (Fernald) Lye var. purshiana", "WCSP 2012+. World Checklist of Selected Plant Families. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://apps.kew.org/wcsp/"
"Schoenoplectus purshianus var. purshianus", "Schoenoplectiella purshiana (Fernald) Lye var. purshiana", "WCSP 2012+. World Checklist of Selected Plant Families. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://apps.kew.org/wcsp/"
"Schoenoplectus smithii", "Schoenoplectiella smithii (A. Gray) Hayasaka var. smithii", "WCSP 2012+. World Checklist of Selected Plant Families. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://apps.kew.org/wcsp/"
"Schoenoplectus smithii var. setosus", "Schoenoplectiella smithii var. setosa (Fernald) Hayasaka", "WCSP 2012+. World Checklist of Selected Plant Families. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://apps.kew.org/wcsp/"
"Schoenoplectus smithii var. smithii", "Schoenoplectiella smithii (A. Gray) Hayasaka var. smithii", "WCSP 2012+. World Checklist of Selected Plant Families. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://apps.kew.org/wcsp/"
"Scirpus cyperinus", "Scirpus atrocinctus Fernald", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 23: Cyperaceae. Oxford University Press, New York."
"Senecio jacobaea", "Jacobaea vulgaris Gaertner", "Euro+Med Editorial Committee. 2014+. Euro+Med PlantBase. http://www.emplantbase.org/"
"Setaria pumila subsp. pumila", "Setaria pumila (Poiret) Roemer & Schultes", "FNA Editorial Committee. 2003. Flora of North America north of Mexico. Volume 25: Poaceae (part 2). Oxford University Press, New York."
"Sibbaldiopsis tridentata", "Sibbaldia tridentata (Aiton) Paule & Soják", ""
"Sida hermaphrodita", "Ripariosida hermaphrodita (Linnaeus) Weakley & B.D. Poindexter", "Weakley, A.S. et alii. 2017. New combinations, rank changes, and monemclatural and taxonomic comments in the vascular flora of the southeastern United States. II. Journal of the Botanical Research Institute of Texas 11(2): 291-325"
"Silene armeria", "Atocion armeria (Linnaeus) Rafinesque", "Frajman, B., M. Thollesson & B. Oxelman. 2013. Taxonomic revision of Atocion and Viscaria (Sileneae, Caryophyllaceae). Botanical Journal of the Linnean Society 173: 194-210."
"Sisyrinchium angustifolium", "Sisyrinchium montanum var. crebrum Fernald", "FNA Editorial Committee. 2002. Flora of North America north of Mexico. Volume 26: Agavaceae, Aloaceae, Burmanniaceae, Dioscoreaceae, Haemodoraceae, Iridaceae, Liliaceae, Orchidaceae, Pontederiaceae, Smilacaceae and Stemonaceae. Oxford University Press, New York."
"Solidago altissima subsp. altissima", "Solidago altissima Linnaeus var. altissima", "Semple, J.C. 2013. Classification and illustrations of goldenrods. https://uwaterloo.ca/astereae-lab/research/goldenrods/classification-and-illustrations"
"Solidago altissima subsp. gilvocanescens", "Solidago altissima var. gilvocanescens (Rydberg) Semple", "Semple, J.C. 2013. Classification and illustrations of goldenrods. https://uwaterloo.ca/astereae-lab/research/goldenrods/classification-and-illustrations"
"Solidago puberula subsp. puberula", "Solidago puberula Nuttall", "FNA Editorial Committee. 2006. Flora of North America north of Mexico. Volume 20: Magnoliophyta: Asteridae, part 7: Asteraceae, part 2. Oxford University Press, New York."
"Solidago rugosa var. aspera", "Solidago rugosa subsp. aspera var. aspera (Aiton) Fernald", "FNA Editorial Committee. 2006. Flora of North America north of Mexico. Volume 20: Magnoliophyta: Asteridae, part 7: Asteraceae, part 2. Oxford University Press, New York."
"Solidago rugosa var. rugosa", "Solidago rugosa Miller subsp. rugosa var. rugosa", "FNA Editorial Committee. 2006. Flora of North America north of Mexico. Volume 20: Magnoliophyta: Asteridae, part 7: Asteraceae, part 2. Oxford University Press, New York."
"Solidago sempervirens subsp. sempervirens", "Solidago sempervirens Linnaeus", "FNA Editorial Committee. 2006. Flora of North America north of Mexico. Volume 20: Magnoliophyta: Asteridae, part 7: Asteraceae, part 2. Oxford University Press, New York."
"Solidago simplex var. gillmanii", "Solidago gillmanii (A. Gray) Steele", "Semple, J.C. & J.A. Peirson. 2013. A revised nomenclature for the Solidago simplex complex (Asteraceae: Astereae). Phytoneuron 2013-41. 1-"
"Solidago simplex var. ontarioensis", "Solidago ontarioensis (G.S. Ringius) Semple & Peirson", "Semple, J.C. & J.A. Peirson. 2013. A revised nomenclature for the Solidago simplex complex (Asteraceae: Astereae). Phytoneuron 2013-41. 1-"
"Solidago simplex var. simplex", "Solidago glutinosa Nuttall", "Semple, J.C., Y. Ma & L. Tong. 2016. On Solidago simplex (Asteraceae: Astereae): A multivariate study including S. glutinosa, S. leiocarpa, S. multiradiata, and S. spathulata. Phytoneuron 2016-87: 1-21"
"Solidago simplex var. simplex", "Solidago simplex Kunth", "Semple, J.C. & J.A. Peirson. 2013. A revised nomenclature for the Solidago simplex complex (Asteraceae: Astereae). Phytoneuron 2013-41. 1-"
"Solidago speciosa var. rigidiuscula", "Solidago rigidiuscula (Torrey & A. Gray) Porter", "Semple, J.C. 2013. Classification and illustrations of goldenrods. https://uwaterloo.ca/astereae-lab/research/goldenrods/classification-and-illustrations"
"Sorbus intermedia", "Scandosorbus intermedia (Ehrhart) Sennikov", "Sennikov, A.N. 2018. Scandosorbus (Rosaceae), a new generic name for Sorbus intermedia and its hybrid. Annales Botanici Fennici 55: 321-323"
"Sorghum", "Sorghum bicolor (Linnaeus) Moench subsp. bicolor", "FNA Editorial Committee. 2003. Flora of North America north of Mexico. Volume 25: Poaceae (part 2). Oxford University Press, New York."
"Sorghum", "Sorghum bicolor (Linnaeus) Moench subsp. bicolor", "FNA Editorial Committee. 2003. Flora of North America north of Mexico. Volume 25: Poaceae (part 2). Oxford University Press, New York."
